DBPediaURI;searchwrap_q=Libia.1;searchwrap_q=Libia.10;searchwrap_q=Libia.11;searchwrap_q=Libia.12;searchwrap_q=Libia.13;searchwrap_q=Libia.14;searchwrap_q=Libia.15;searchwrap_q=Libia.16;searchwrap_q=Libia.17;searchwrap_q=Libia.18;searchwrap_q=Libia.19;searchwrap_q=Libia.2;searchwrap_q=Libia.20;searchwrap_q=Libia.21;searchwrap_q=Libia.22;searchwrap_q=Libia.23;searchwrap_q=Libia.24;searchwrap_q=Libia.25;searchwrap_q=Libia.26;searchwrap_q=Libia.27;searchwrap_q=Libia.28;searchwrap_q=Libia.29;searchwrap_q=Libia.3;searchwrap_q=Libia.30;searchwrap_q=Libia.31;searchwrap_q=Libia.32;searchwrap_q=Libia.33;searchwrap_q=Libia.34;searchwrap_q=Libia.35;searchwrap_q=Libia.36;searchwrap_q=Libia.37;searchwrap_q=Libia.38;searchwrap_q=Libia.39;searchwrap_q=Libia.4;searchwrap_q=Libia.40;searchwrap_q=Libia.41;searchwrap_q=Libia.42;searchwrap_q=Libia.43;searchwrap_q=Libia.44;searchwrap_q=Libia.45;searchwrap_q=Libia.46;searchwrap_q=Libia.47;searchwrap_q=Libia.5;searchwrap_q=Libia.6;searchwrap_q=Libia.7;searchwrap_q=Libia.8;searchwrap_q=Libia.9
http://dbpedia.org/resource/la_Franja;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Lucius_Cornelius_Sulla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/2007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Nato;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Spain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/United_Nations;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/devo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Benghazi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
http://dbpedia.org/resource/Comune;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://dbpedia.org/resource/Revolutionary_Armed_Forces_of_Colombia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
